name,ingredients_json,mood_labels,tags,category,instructions,glass,garnish,prep_time,difficulty,image_url,date
50/50,"[{""name"":""Vanilla vodka"",""measure"":""2 1/2 oz""},{""name"":""Grand Marnier"",""measure"":""1 splash""},{""name"":""Orange juice"",""measure"":""Fill with""}]","energy_light_refreshing,time_aperitif","style_contemporary_classic,flavor_citrus,strength_moderate,serve_long",cat_highball_long,"Fill a Collins glass with crushed ice, then add 2 1/2 oz of vanilla vodka and a splash of Grand Marnier. Top off with orange juice.",glass_collins,none,2 minutes,Easy,https://drive.google.com/file/d/1btIJ13l6fnHP7DHdj6mqTragu-scJxGh/view?usp=drivesdk,2025-09-22
501 Blue,"[{""name"":""Blue Curacao"",""measure"":""equal parts""},{""name"":""blueberry schnapps"",""measure"":""equal parts""},{""name"":""vodka"",""measure"":""equal parts""},{""name"":""sour mix"",""measure"":""equal parts""},{""name"":""7-Up"",""measure"":""top""}]","energy_light_refreshing,energy_bright_uplifting","style_contemporary_classic,style_sour_family,flavor_fruity,strength_moderate,serve_long",cat_highball_long,"Combine equal parts Blue Curacao, blueberry schnapps, vodka, and sour mix in a Collins glass filled with ice, then top with 7-Up.",glass_collins,none,2 minutes,Easy,https://drive.google.com/file/d/1_cJmI6yaybvzepGtBctJ6dAiwoelklUq/view?usp=drivesdk,2025-09-22
57 Chevy with a White License Plate,"[{""name"":""Creme de Cacao"",""measure"":""1 oz white""},{""name"":""Vodka"",""measure"":""1 oz""}]","energy_smooth,time_nightcap","style_contemporary_classic,flavor_sweet,strength_moderate,serve_up",cat_beer_cocktail,"Fill a highball glass with ice, then add 1 oz of white creme de cacao and 1 oz of vodka; stir gently to combine.",glass_highball,none,2 minutes,Easy,https://drive.google.com/file/d/1_jP7lDnjySHkeuCjrlLJr9mnyFKXr1CZ/view?usp=drivesdk,2025-09-22
69 Special,"[{""name"":""Gin"",""measure"":""2 oz dry""},{""name"":""7-Up"",""measure"":""4 oz""},{""name"":""Lemon juice"",""measure"":""0.75 oz""}]","energy_light_refreshing,time_aperitif","style_contemporary_classic,flavor_citrus,serve_long",cat_highball_long,"In a Collins glass filled with ice, combine 2 oz gin, 4 oz 7-Up, and 0.75 oz lemon juice; stir gently to mix. Adjust sweetness by adding more 7-Up if desired.",glass_collins,lemon wedge,2 minutes,Easy,https://drive.google.com/file/d/19ZvxbLbCMsvKTnTcfmUmL0dtCdSzM5ql/view?usp=drivesdk,2025-09-22
747 Drink,"[{""name"":""Vodka"",""measure"":""1 oz""},{""name"":""Roses sweetened lime juice"",""measure"":""1 oz""},{""name"":""Cranberry Juice"",""measure"":""1 oz""},{""name"":""Sprite"",""measure"":""Top""}]","energy_light_refreshing,energy_bright_uplifting","style_contemporary_classic,flavor_citrus,flavor_sweet,strength_moderate,serve_long",cat_highball_long,"Fill a highball glass with ice, then add vodka, lime juice, and cranberry juice. Top with Sprite and stir gently.",glass_highball,lime wedge,2 minutes,Easy,https://drive.google.com/file/d/1zCVCO9aPbQAPdaSNo1jbIqXCTH2FVcnp/view?usp=drivesdk,2025-09-22
9 1/2 Weeks,"[{""name"":""Absolut Citron"",""measure"":""2 oz""},{""name"":""Orange Curacao"",""measure"":""1/2 oz""},{""name"":""Strawberry liqueur"",""measure"":""1 splash""},{""name"":""Orange juice"",""measure"":""1 oz""}]","energy_light_refreshing,time_aperitif","style_contemporary_classic,flavor_citrus,flavor_fruity,strength_moderate,serve_up",cat_short_shaken_citrus,"Combine 2 oz Absolut Citron, 1/2 oz Orange Curacao, 1 splash of Strawberry liqueur, and 1 oz Orange juice in a shaker with ice. Chill, then fine strain into a cocktail glass.",glass_martini,orange twist,3 minutes,Medium,https://drive.google.com/file/d/1GA8gMHaUL2S_SNgZgCWgumv78EyE0t66/view?usp=drivesdk,2025-09-22
A. J.,"[{""name"":""Applejack"",""measure"":""1 1/2 oz""},{""name"":""Grapefruit juice"",""measure"":""1 oz""}]","energy_light_refreshing,time_aperitif","style_classic,flavor_citrus,strength_moderate",cat_short_shaken_citrus,"Combine 1 1/2 oz Applejack and 1 oz grapefruit juice with ice, then fine strain into a chilled cocktail glass.",glass_martini,grapefruit twist,2 minutes,Easy,https://drive.google.com/file/d/1e6o193lSOtdwte8ckVKx4nawmdyuQl2Y/view?usp=drivesdk,2025-09-22
A1,"[{""name"":""Gin"",""measure"":""1 3/4 shot""},{""name"":""Grand Marnier"",""measure"":""1 Shot""},{""name"":""Lemon Juice"",""measure"":""1/4 Shot""},{""name"":""Grenadine"",""measure"":""1/8 Shot""}]","energy_bold_spirit_forward,time_aperitif","style_contemporary_classic,flavor_citrus,flavor_sour,strength_moderate,serve_up",cat_short_shaken_citrus,"Combine 1 3/4 shots of gin, 1 shot of Grand Marnier, 1/4 shot of lemon juice, and 1/8 shot of grenadine in a cocktail shaker with ice, then strain into a chilled cocktail glass.",glass_martini,none,3 minutes,Medium,https://drive.google.com/file/d/1-nFR-M_Rnxm918oRafAp0F1H1JIZMtLA/view?usp=drivesdk,2025-09-22
Aam Panna,"[{""name"":""Sugar"",""measure"":""""},{""name"":""Unripe Green Mango"",""measure"":""""},{""name"":""Cardamom"",""measure"":""""},{""name"":""Fresh Mint"",""measure"":""""},{""name"":""Black Salt"",""measure"":""""}]","energy_light_refreshing,season_summer","style_new_era,flavor_fruity,flavor_savory,occ_brunch,setting_beach",cat_soft_zero_proof,"Blend unripe green mango with sugar, cardamom, fresh mint, and black salt until smooth. Serve chilled for a refreshing drink.",glass_coffee_mug,mint sprig,2 minutes,Easy,https://drive.google.com/file/d/1gh6xu-r35Y2fbiKvIaEWVTY20t85u-fz/view?usp=drivesdk,2025-09-22
Aamras,"[{""name"":""kesar mangoesr"",""measure"":""""},{""name"":""cardamom powder"",""measure"":""""},{""name"":""saffron strands(kesar)"",""measure"":""""},{""name"":""Sugar"",""measure"":""""},{""name"":""dry ginger powder"",""measure"":""""},{""name"":""Milk (Optional)"",""measure"":""""}]","energy_light_refreshing,season_summer","style_contemporary_classic,flavor_fruity,diet_dairy,texture_creamy,occ_brunch",cat_soft_zero_proof,"Blend kesar mangoes until smooth, then mix in sugar, cardamom powder, dry ginger powder, and saffron strands. If desired, stir in milk for a creamier texture before serving.",glass_coffee_mug,none,2 minutes,Easy,https://drive.google.com/file/d/1bR8g9ctsx5yTPXbZ-LLqqxMNfxmEN3G2/view?usp=drivesdk,2025-09-22
ABC,"[{""name"":""Amaretto"",""measure"":""1/3""},{""name"":""Baileys irish cream"",""measure"":""1/3""},{""name"":""Cognac"",""measure"":""1/3""}]","energy_indulgent,time_nightcap","style_contemporary_classic,flavor_sweet,diet_dairy,strength_moderate",cat_shot_shooter,"Layer Amaretto, then Baileys Irish Cream, and finally Cognac in a shot glass.",glass_shot,none,4 minutes,Medium,https://drive.google.com/file/d/1ss-MNLpoDe0LCFqcnAh-xbwA-1X42qBb/view?usp=drivesdk,2025-09-22
Abilene,"[{""name"":""Dark rum"",""measure"":""1 1/2 oz""},{""name"":""Peach nectar"",""measure"":""2 oz""},{""name"":""Orange juice"",""measure"":""3 oz""}]","energy_light_refreshing,time_aperitif","style_contemporary_classic,flavor_fruity,strength_moderate,serve_on_rocks",cat_highball_long,"Fill a highball glass with ice, then combine dark rum, peach nectar, and orange juice. Stir well to mix.",glass_highball,orange slice,2 minutes,Easy,https://drive.google.com/file/d/1PaXKTJTzqr40l0pp2Ab2yt-ksVveP2Kg/view?usp=drivesdk,2025-09-22
Acapulco,"[{""name"":""Light rum"",""measure"":""1 1/2 oz""},{""name"":""Triple sec"",""measure"":""1 1/2 tsp""},{""name"":""Lime juice"",""measure"":""1 tblsp""},{""name"":""Sugar"",""measure"":""1 tsp""},{""name"":""Egg white"",""measure"":""1""},{""name"":""Mint"",""measure"":""1""}]","energy_light_refreshing,time_aperitif","style_classic,flavor_sour,diet_egg,serve_up",cat_short_shaken_citrus,"Shake light rum, triple sec, lime juice, sugar, and egg white with ice, then strain into an old-fashioned glass filled with ice. Garnish with a sprig of mint.",glass_rocks,mint sprig,4 minutes,Medium,https://drive.google.com/file/d/19TSqnVfO_iZkbptehQJPrO2NeNG_tsZB/view?usp=drivesdk,2025-09-22
Ace,"[{""name"":""Gin"",""measure"":""2 shots""},{""name"":""Grenadine"",""measure"":""1/2 shot""},{""name"":""Heavy cream"",""measure"":""1/2 shot""},{""name"":""Milk"",""measure"":""1/2 shot""},{""name"":""Egg White"",""measure"":""1/2 Fresh""}]","energy_creamy_velvety,intent_dessert","style_classic,diet_dairy,texture_creamy",cat_milk_egg_cream,"Combine 2 shots of gin, 1/2 shot of grenadine, 1/2 shot of heavy cream, 1/2 shot of milk, and 1/2 fresh egg white in a shaker with ice, then fine strain into a chilled martini glass.",glass_martini,none,4 minutes,Medium,https://drive.google.com/file/d/1sZObTIDWwfFS_7A3VDQWIZPKBD5qRBF1/view?usp=drivesdk,2025-09-22
ACID,"[{""name"":""151 proof rum"",""measure"":""1 oz Bacardi""},{""name"":""Wild Turkey"",""measure"":""1 oz""}]","energy_bold_spirit_forward,occ_party_high_energy","style_classic,flavor_intense,strength_strong",cat_shot_shooter,"Layer 1 oz of 151 proof rum, then 1 oz of Wild Turkey in a shot glass, and serve with a Coke or Dr Pepper chaser.",glass_shot,none,2 minutes,Medium,https://drive.google.com/file/d/1urO1b97kfi2dj7xuc_xsR6XBjLMSgA_7/view?usp=drivesdk,2025-09-22
Across the Pacific,"[{""name"":""Blended Aged Rum"",""measure"":""""},{""name"":""Jamaican Rum"",""measure"":""""},{""name"":""Averna Amaro"",""measure"":""""},{""name"":""Lime Juice"",""measure"":""""},{""name"":""Orgeat Syrup"",""measure"":""""}]","season_tropical,occ_party_high_energy","style_tiki,flavor_citrus,flavor_fruity,strength_moderate,serve_on_rocks",cat_tiki_tropical,"Combine blended aged rum, Jamaican rum, Averna Amaro, lime juice, and orgeat syrup in a shaker with ice, then strain into a rocks glass filled with fresh ice.",glass_coffee_mug,lime wheel,4 minutes,Medium,https://drive.google.com/file/d/1rZH_pEP-xCvANMhN9L8fi2wnK1Qd_zKr/view?usp=drivesdk,2025-09-22
Adam,"[{""name"":""Dark rum"",""measure"":""2 oz""},{""name"":""Lemon juice"",""measure"":""1 oz""},{""name"":""Grenadine"",""measure"":""1 tsp""}]","energy_bold_spirit_forward,time_nightcap","style_classic,flavor_sour,flavor_fruity,strength_moderate",cat_short_shaken_citrus,"Combine 2 oz dark rum, 1 oz lemon juice, and 1 tsp grenadine in a shaker with ice, shake well, and strain into a cocktail glass.",glass_martini,none,3 minutes,Medium,https://drive.google.com/file/d/1A1UwPrnZl0PY7aZ7X5Meu0zIH2YNfX67/view?usp=drivesdk,2025-09-22
Addington,"[{""name"":""Sweet Vermouth"",""measure"":""2 shots""},{""name"":""Dry Vermouth"",""measure"":""1 shot""},{""name"":""Soda Water"",""measure"":""Top up with""}]","energy_light_refreshing,time_aperitif","style_contemporary_classic,style_highball,flavor_sweet,serve_long",cat_spritz_sparkling,"Combine 2 shots of sweet vermouth and 1 shot of dry vermouth in a shaker, then fine strain into a chilled cocktail glass and top with soda water.",glass_martini,none,3 minutes,Medium,https://drive.google.com/file/d/1riD0e8rxVCXNHuN2eAFr8SnbrHTBA_0C/view?usp=drivesdk,2025-09-22
Addison,"[{""name"":""Gin"",""measure"":""1 1/2 shot""},{""name"":""Vermouth"",""measure"":""1 1/2 shot""}]","season_garden,time_aperitif","style_classic,strength_moderate,serve_up",cat_short_spirit_forward,"Combine 1 1/2 shots of gin and 1 1/2 shots of vermouth, then strain into a chilled martini glass.",glass_martini,none,2 minutes,Easy,https://drive.google.com/file/d/1Pyze8iBQMQ46qUv2nv2EJoR0a8f9b6_v/view?usp=drivesdk,2025-09-22
Adios Motherfucker (AMF),"[{""name"":""Vodka"",""measure"":""""},{""name"":""Rum"",""measure"":""""},{""name"":""Gin"",""measure"":""""},{""name"":""Tequila"",""measure"":""""},{""name"":""Sweet and Sour Mix"",""measure"":""""},{""name"":""Sprite"",""measure"":""""},{""name"":""Blue Curaçao"",""measure"":""""}]","energy_bold_spirit_forward,occ_party_high_energy","style_new_era,flavor_sour,strength_strong,serve_long",cat_highball_long,"Combine equal parts vodka, rum, gin, tequila, and sweet and sour mix in a shaker with ice, then shake well. Strain into a tall glass filled with ice, top with Sprite, and add a splash of Blue Curaçao for color.",glass_coffee_mug,none,4 minutes,Medium,https://drive.google.com/file/d/1cTsWgVgyz7rFIsDvLa2PS2yf-y2u331A/view?usp=drivesdk,2025-09-22
Adonis,"[{""name"":""sweet vermouth, Carpano Antica"",""measure"":""""},{""name"":""fino sherry, lustau La Ina"",""measure"":""""},{""name"":""orange bitters"",""measure"":""""},{""name"":""orange zest"",""measure"":""""}]","energy_smooth,time_aperitif","style_classic,flavor_sweet,flavor_bitter,strength_moderate,serve_up",cat_wine_vermouth_aperitif,"Combine sweet vermouth and fino sherry in a mixing glass with orange bitters and ice, then stir until chilled. Fine strain into a chilled coupe and garnish with a twist of orange zest.",glass_coffee_mug,orange twist,3 minutes,Medium,https://drive.google.com/file/d/1dKTkqYZMKdlcpTYRy7jIL4TwBpon_0DX/view?usp=drivesdk,2025-09-22
Adult Hot Chocolate,"[{""name"":""Peppermint Schnapps"",""measure"":""""},{""name"":""Hot Chocolate"",""measure"":""""},{""name"":""Garnish: ​whipped cream"",""measure"":""""},{""name"":""Garnish: chocolate sprinkles or shaved chocolate"",""measure"":""""}]","energy_cozy_warming,time_nightcap","style_contemporary_classic,flavor_chocolate,flavor_sweet,serve_hot,occ_brunch",cat_hot,"Combine peppermint schnapps and hot chocolate in a mug, then top with whipped cream and sprinkle with chocolate sprinkles or shaved chocolate.",glass_coffee_mug,​whipped cream and chocolate sprinkles or shaved chocolate,2 minutes,Easy,https://drive.google.com/file/d/1RbOYkpZ8wlHhuBdSNfmdJwIhjzk-zvVT/view?usp=drivesdk,2025-09-22
Affair,"[{""name"":""Strawberry schnapps"",""measure"":""2 oz""},{""name"":""Orange juice"",""measure"":""2 oz""},{""name"":""Cranberry juice"",""measure"":""2 oz""},{""name"":""Club soda"",""measure"":""""}]","energy_light_refreshing,energy_bright_uplifting","style_contemporary_classic,flavor_fruity,serve_bubbly,strength_moderate,occ_party",cat_highball_long,"Fill a highball glass with ice, then pour in the strawberry schnapps, orange juice, and cranberry juice. Top with club soda and serve.",glass_highball,none,2 minutes,Easy,https://drive.google.com/file/d/1__no7xL8thz3Nol5eqEjZNObSw4DscVH/view?usp=drivesdk,2025-09-22
Affinity,"[{""name"":""Scotch"",""measure"":""1 1/2 oz""},{""name"":""Sweet Vermouth"",""measure"":""1 oz""},{""name"":""Dry Vermouth"",""measure"":""1 oz""},{""name"":""Orange bitters"",""measure"":""2 dashes""}]","energy_bold_spirit_forward,occ_soiree","style_classic,strength_moderate,flavor_bitter",cat_short_spirit_forward,"Combine 1 1/2 oz Scotch, 1 oz sweet vermouth, 1 oz dry vermouth, and 2 dashes of orange bitters in a mixing glass filled with ice. Stir well and strain into a chilled cocktail glass.",glass_martini,none,2 minutes,Easy,https://drive.google.com/file/d/1ms4PRbCWQHM47WeRNbWED2EZGNc9gKtg/view?usp=drivesdk,2025-09-22
Affogato,"[{""name"":""Gelato"",""measure"":""""},{""name"":""Espresso"",""measure"":""""}]","intent_espresso_kick,intent_dessert","style_contemporary_classic,flavor_coffee,texture_creamy,occ_brunch",cat_coffee_tea,Scoop gelato into a bowl and pour hot espresso over it.,glass_coffee_mug,none,2 minutes,Easy,https://drive.google.com/file/d/1ZXJgFC9iRMJEfLjlPw_qrFTT7N1eVYdU/view?usp=drivesdk,2025-09-22
Afterglow,"[{""name"":""Grenadine"",""measure"":""1 part""},{""name"":""Orange juice"",""measure"":""4 parts""},{""name"":""Pineapple juice"",""measure"":""4 parts""}]","energy_light_refreshing,time_aperitif","style_spritz,flavor_fruity,season_summer",cat_soft_zero_proof,"Combine 1 part grenadine with 4 parts orange juice and 4 parts pineapple juice, then pour over ice in a highball glass.",glass_highball,none,2 minutes,Easy,https://drive.google.com/file/d/119gofQ7M-SAL9wbJB6ltPtDWXv_U6HQq/view?usp=drivesdk,2025-09-22
Agua de bandindo,"[{""name"":""Lemon flavored corote"",""measure"":""""},{""name"":""strawberry juice powder"",""measure"":""""},{""name"":""frozen strawberry juice"",""measure"":""""}]","energy_light_refreshing,energy_bright_uplifting","style_new_era,flavor_fruity,serve_frozen,season_summer",cat_soft_zero_proof,"Combine lemon flavored corote, strawberry juice powder, and frozen strawberry juice in a blender until smooth. Serve immediately in a chilled glass.",glass_coffee_mug,none,4 minutes,Easy,https://drive.google.com/file/d/1VuNS823rAw6T-YUDsOGFUMDs3PAopcp9/view?usp=drivesdk,2025-09-22
Agua de valencia,"[{""name"":""fresh-squeezed Valencia orange juice"",""measure"":""""},{""name"":""cava (or champagne)"",""measure"":""""},{""name"":""gin"",""measure"":""""},{""name"":""vodka"",""measure"":""""},{""name"":""sugar"",""measure"":""""}]","energy_light_refreshing,energy_bright_uplifting","style_contemporary_classic,style_spritz,flavor_citrus,strength_moderate,occ_brunch,setting_beach",cat_spritz_sparkling,"Combine fresh-squeezed Valencia orange juice, gin, vodka, and sugar in a shaker with ice, then shake well. Strain into a glass and top with cava.",glass_coffee_mug,orange slice,4 minutes,Medium,https://drive.google.com/file/d/1hpRjBA2-pusU69hst6x2Z1Gt96BviQs1/view?usp=drivesdk,2025-09-22
Aguapanela,"[{""name"":""Water"",""measure"":""""},{""name"":""Panela"",""measure"":""""},{""name"":""Ice"",""measure"":""""},{""name"":""Lemons"",""measure"":""""}]","energy_light_refreshing,time_aperitif","style_new_era,flavor_citrus,serve_on_rocks,occ_brunch",cat_soft_zero_proof,"Dissolve panela in water, then add freshly squeezed lemon juice. Pour over ice in a glass and stir gently.",glass_coffee_mug,none,2 minutes,Easy,https://drive.google.com/file/d/1UtecIsaJEgXnSE20Y2UAVXWYHjHrfgCG/view?usp=drivesdk,2025-09-22
Airmail,"[{""name"":""Lime juice"",""measure"":""""},{""name"":""Honey Syrup"",""measure"":""""},{""name"":""Aged rum"",""measure"":""""},{""name"":""Champagne"",""measure"":""""}]","energy_light_refreshing,time_aperitif","style_contemporary_classic,flavor_citrus,serve_bubbly,strength_moderate",cat_spritz_sparkling,"Combine lime juice, honey syrup, and aged rum in a shaker with ice, then strain into a chilled flute and top with champagne.",glass_coffee_mug,lime twist,4 minutes,Medium,https://drive.google.com/file/d/1P22T5XqkTtqUnmIAddUEbuPYW2OcJhVs/view?usp=drivesdk,2025-09-22
Ajoblanco,"[{""name"":""blanched Marcona almonds"",""measure"":""""},{""name"":""white bread"",""measure"":""""},{""name"":""garlic"",""measure"":""""},{""name"":""sherry vinegar"",""measure"":""""},{""name"":""apple"",""measure"":""""},{""name"":""salt"",""measure"":""""},{""name"":""cold water"",""measure"":""""},{""name"":""extra vurgub ikuve iuk"",""measure"":""""},{""name"":""green grapes"",""measure"":""""}]","energy_light_refreshing,time_aperitif","style_tiki,flavor_nutty,flavor_fruity,diet_vegan",cat_soft_zero_proof,"Blend blanched Marcona almonds, white bread, garlic, sherry vinegar, apple, salt, cold water, and extra virgin olive oil until smooth. Serve chilled, garnished with green grapes.",glass_coffee_mug,none,1 minute,Easy,https://drive.google.com/file/d/1UjRYR9GrCzwaVUxZW7yDvljMz_hQjMSh/view?usp=drivesdk,2025-09-22
Alexander,"[{""name"":""Gin"",""measure"":""1/2 oz""},{""name"":""Creme de Cacao"",""measure"":""1/2 oz white""},{""name"":""Light cream"",""measure"":""2 oz""},{""name"":""Nutmeg"",""measure"":""""}]","energy_creamy_velvety,intent_dessert","style_classic,flavor_chocolate,diet_dairy,texture_creamy",cat_milk_egg_cream,"Combine gin, white creme de cacao, and light cream with ice, then strain into a chilled cocktail glass. Garnish with a sprinkle of nutmeg.",glass_martini,grated nutmeg,3 minutes,Medium,https://drive.google.com/file/d/1b3XX9VEJEEuYT12eaC7dPbcABqpB1MnT/view?usp=drivesdk,2025-09-22
Algonquin,"[{""name"":""Blended whiskey"",""measure"":""1 1/2 oz""},{""name"":""Dry Vermouth"",""measure"":""1 oz""},{""name"":""Pineapple juice"",""measure"":""1 oz""}]","energy_bold_spirit_forward,time_nightcap","style_classic,flavor_sour,strength_moderate",cat_short_spirit_forward,"Combine 1 1/2 oz blended whiskey, 1 oz dry vermouth, and 1 oz pineapple juice with ice, then strain into a chilled cocktail glass.",glass_martini,none,2 minutes,Medium,https://drive.google.com/file/d/1mzkkrVnLOhcfJ20y9pVPbW9cxZGo_-iL/view?usp=drivesdk,2025-09-22
